filename,is_target,score,image_name,K,TP_obj,FP_obj,Cum_TP_obj,Cum_FP_obj,Precision_obj_at_K,Cum_TP_img,Cum_FP_img,Precision_img_at_K
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_256.npy,True,0.9470344,50_Or_004_35.654030__-0.565647_01.2022,72,1,0,68,4,0.9444444444444444,14,2,0.875
50_Or_078__35.819171__-0.468544_06.2022_Bulldozers_35.npy,False,0.93787265,50_Or_078__35.819171__-0.468544_06.2022,73,0,1,68,5,0.9315068493150684,14,2,0.875
50_Or_031_35.641030__-0.594670_03.2021_LongHeavyDuty_185.npy,True,0.937476,50_Or_031_35.641030__-0.594670_03.2021,74,1,0,69,5,0.9324324324324325,15,2,0.8823529411764706
50_Or_003_35.654030__-0.565647_03.2021_HeavyDuty_153.npy,False,0.93480587,50_Or_003_35.654030__-0.565647_03.2021,75,0,1,69,6,0.92,15,2,0.8823529411764706
50_Or_025_35.651734__-0.595641_06.2020_LongHeavyDuty_325.npy,True,0.9286971,50_Or_025_35.651734__-0.595641_06.2020,76,1,0,70,6,0.9210526315789473,15,2,0.8823529411764706
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_106.npy,True,0.92778754,50_Or_045__35.678830__-0.621677_03.2025,77,1,0,71,6,0.922077922077922,15,2,0.8823529411764706
50_Or_021_35.652627__-0.592862_06.2022_LongHeavyDuty_116.npy,True,0.9198403,50_Or_021_35.652627__-0.592862_06.2022,78,1,0,72,6,0.9230769230769231,15,2,0.8823529411764706
50_Or_098__35.913750__0.147933__11.2021_HeavyDuty_144.npy,False,0.9169035,50_Or_098__35.913750__0.147933__11.2021,79,0,1,72,7,0.9113924050632911,15,2,0.8823529411764706
50_Or_065__35.705245__-0.48790_03.2021_LongHeavyDuty_266.npy,True,0.9140785,50_Or_065__35.705245__-0.48790_03.2021,80,1,0,73,7,0.9125,15,2,0.8823529411764706
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_165.npy,False,0.90514594,50_Or_019_35.652627__-0.592862_06.2020,81,0,1,73,8,0.9012345679012346,15,2,0.8823529411764706
50_Or_031_35.641030__-0.594670_03.2021_LongHeavyDuty_186.npy,True,0.88812107,50_Or_031_35.641030__-0.594670_03.2021,82,1,0,74,8,0.9024390243902439,15,2,0.8823529411764706
50_Or_077__35.819171__-0.468544_01.2022_Bulldozers_37.npy,False,0.87747943,50_Or_077__35.819171__-0.468544_01.2022,83,0,1,74,9,0.891566265060241,15,3,0.8333333333333334
50_Or_031_35.641030__-0.594670_03.2021_Other_93.npy,False,0.87579,50_Or_031_35.641030__-0.594670_03.2021,84,0,1,74,10,0.8809523809523809,15,3,0.8333333333333334
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_529.npy,False,0.8558986,50_Or_098__35.913750__0.147933__11.2021,85,0,1,74,11,0.8705882352941177,15,3,0.8333333333333334
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_164.npy,False,0.8554332,50_Or_019_35.652627__-0.592862_06.2020,86,0,1,74,12,0.8604651162790697,15,3,0.8333333333333334
50_Or_031_35.641030__-0.594670_03.2021_Other_100.npy,False,0.8536004,50_Or_031_35.641030__-0.594670_03.2021,87,0,1,74,13,0.8505747126436781,15,3,0.8333333333333334
50_Or_071__35.715136__-0.480888_04.2023_LongHeavyDuty_247.npy,True,0.8523282,50_Or_071__35.715136__-0.480888_04.2023,88,1,0,75,13,0.8522727272727273,15,3,0.8333333333333334
50_Or_031_35.641030__-0.594670_03.2021_Other_99.npy,False,0.8521847,50_Or_031_35.641030__-0.594670_03.2021,89,0,1,75,14,0.8426966292134831,15,3,0.8333333333333334
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_174.npy,False,0.8520056,50_Or_019_35.652627__-0.592862_06.2020,90,0,1,75,15,0.8333333333333334,15,3,0.8333333333333334
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_314.npy,True,0.8487588,50_Or_003_35.654030__-0.565647_03.2021,91,1,0,76,15,0.8351648351648352,15,3,0.8333333333333334
50_Or_098__35.913750__0.147933__11.2021_HeavyDuty_143.npy,False,0.8431444,50_Or_098__35.913750__0.147933__11.2021,92,0,1,76,16,0.8260869565217391,15,3,0.8333333333333334
50_Or_016_35.653454__-0.602122_04.2023_MediumStandard_597.npy,False,0.83854806,50_Or_016_35.653454__-0.602122_04.2023,93,0,1,76,17,0.8172043010752689,15,4,0.7894736842105263
50_Or_031_35.641030__-0.594670_03.2021_Other_94.npy,False,0.83260787,50_Or_031_35.641030__-0.594670_03.2021,94,0,1,76,18,0.8085106382978723,15,4,0.7894736842105263
50_Or_016_35.653454__-0.602122_04.2023_MediumStandard_596.npy,False,0.832289,50_Or_016_35.653454__-0.602122_04.2023,95,0,1,76,19,0.8,15,4,0.7894736842105263
50_Or_006_35.658681__-0.534745_01.2022_LongHeavyDuty_44.npy,True,0.8258202,50_Or_006_35.658681__-0.534745_01.2022,96,1,0,77,19,0.8020833333333334,15,4,0.7894736842105263
50_Or_031_35.641030__-0.594670_03.2021_Other_98.npy,False,0.8230691,50_Or_031_35.641030__-0.594670_03.2021,97,0,1,77,20,0.7938144329896907,15,4,0.7894736842105263
50_Or_069__35.715136__-0.480888_01.2022_LongHeavyDuty_268.npy,True,0.81723785,50_Or_069__35.715136__-0.480888_01.2022,98,1,0,78,20,0.7959183673469388,15,4,0.7894736842105263
50_Or_031_35.641030__-0.594670_03.2021_Other_96.npy,False,0.81618166,50_Or_031_35.641030__-0.594670_03.2021,99,0,1,78,21,0.7878787878787878,15,4,0.7894736842105263
50_Or_016_35.653454__-0.602122_04.2023_MediumStandard_598.npy,False,0.8127941,50_Or_016_35.653454__-0.602122_04.2023,100,0,1,78,22,0.78,15,4,0.7894736842105263
50_Or_071__35.715136__-0.480888_04.2023_MediumStandard_503.npy,False,0.8103229,50_Or_071__35.715136__-0.480888_04.2023,101,0,1,78,23,0.7722772277227723,15,4,0.7894736842105263
50_Or_031_35.641030__-0.594670_03.2021_Other_91.npy,False,0.8076726,50_Or_031_35.641030__-0.594670_03.2021,102,0,1,78,24,0.7647058823529411,15,4,0.7894736842105263
50_Or_079__35.819171__-0.468544_03.2025_Bulldozers_8.npy,False,0.79900473,50_Or_079__35.819171__-0.468544_03.2025,103,0,1,78,25,0.7572815533980582,15,5,0.75
50_Or_016_35.653454__-0.602122_04.2023_MediumStandard_599.npy,False,0.79683757,50_Or_016_35.653454__-0.602122_04.2023,104,0,1,78,26,0.75,15,5,0.75
50_Or_078__35.819171__-0.468544_06.2022_HeavyDuty_116.npy,False,0.79560375,50_Or_078__35.819171__-0.468544_06.2022,105,0,1,78,27,0.7428571428571429,15,5,0.75
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_309.npy,False,0.7906915,50_Or_052__35.710191__-0.636511_06.2020,106,0,1,78,28,0.7358490566037735,15,6,0.7142857142857143
50_Or_031_35.641030__-0.594670_03.2021_Other_97.npy,False,0.7897819,50_Or_031_35.641030__-0.594670_03.2021,107,0,1,78,29,0.7289719626168224,15,6,0.7142857142857143
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_177.npy,False,0.7895713,50_Or_019_35.652627__-0.592862_06.2020,108,0,1,78,30,0.7222222222222222,15,6,0.7142857142857143
50_Or_031_35.641030__-0.594670_03.2021_Other_92.npy,False,0.78897035,50_Or_031_35.641030__-0.594670_03.2021,109,0,1,78,31,0.7155963302752294,15,6,0.7142857142857143
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_528.npy,False,0.7853342,50_Or_098__35.913750__0.147933__11.2021,110,0,1,78,32,0.7090909090909091,15,6,0.7142857142857143
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_173.npy,False,0.7792368,50_Or_019_35.652627__-0.592862_06.2020,111,0,1,78,33,0.7027027027027027,15,6,0.7142857142857143
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_640.npy,False,0.768626,50_Or_019_35.652627__-0.592862_06.2020,112,0,1,78,34,0.6964285714285714,15,6,0.7142857142857143
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_36.npy,False,0.76178503,50_Or_047__35.675778__-0.670871_03.2025,113,0,1,78,35,0.6902654867256637,15,6,0.7142857142857143
50_Or_016_35.653454__-0.602122_04.2023_MediumStandard_594.npy,False,0.7550404,50_Or_016_35.653454__-0.602122_04.2023,114,0,1,78,36,0.6842105263157895,15,6,0.7142857142857143
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_304.npy,False,0.746711,50_Or_052__35.710191__-0.636511_06.2020,115,0,1,78,37,0.6782608695652174,15,6,0.7142857142857143
50_Or_047__35.675778__-0.670871_03.2025_MediumStandard_183.npy,False,0.7454816,50_Or_047__35.675778__-0.670871_03.2025,116,0,1,78,38,0.6724137931034483,15,6,0.7142857142857143
50_Or_096__34.700833__3.307971__03.2025_HeavyDuty_117.npy,False,0.74295115,50_Or_096__34.700833__3.307971__03.2025,117,0,1,78,39,0.6666666666666666,15,7,0.6818181818181818
50_Or_025_35.651734__-0.595641_06.2020_LongHeavyDuty_326.npy,True,0.73931056,50_Or_025_35.651734__-0.595641_06.2020,118,1,0,79,39,0.6694915254237288,15,7,0.6818181818181818
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_533.npy,False,0.73886585,50_Or_098__35.913750__0.147933__11.2021,119,0,1,79,40,0.6638655462184874,15,7,0.6818181818181818
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_167.npy,False,0.7305094,50_Or_019_35.652627__-0.592862_06.2020,120,0,1,79,41,0.6583333333333333,15,7,0.6818181818181818
50_Or_047__35.675778__-0.670871_03.2025_MediumStandard_182.npy,False,0.72624946,50_Or_047__35.675778__-0.670871_03.2025,121,0,1,79,42,0.6528925619834711,15,7,0.6818181818181818
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_182.npy,False,0.72482634,50_Or_019_35.652627__-0.592862_06.2020,122,0,1,79,43,0.6475409836065574,15,7,0.6818181818181818
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_176.npy,False,0.72471154,50_Or_019_35.652627__-0.592862_06.2020,123,0,1,79,44,0.6422764227642277,15,7,0.6818181818181818
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_312.npy,False,0.7244247,50_Or_052__35.710191__-0.636511_06.2020,124,0,1,79,45,0.6370967741935484,15,7,0.6818181818181818
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_172.npy,False,0.7213453,50_Or_019_35.652627__-0.592862_06.2020,125,0,1,79,46,0.632,15,7,0.6818181818181818
50_Or_018_35.651252__-0.604357_04.2025_MediumStandard_268.npy,False,0.7154114,50_Or_018_35.651252__-0.604357_04.2025,126,0,1,79,47,0.626984126984127,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_638.npy,False,0.7142587,50_Or_019_35.652627__-0.592862_06.2020,127,0,1,79,48,0.6220472440944882,15,8,0.6521739130434783
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_544.npy,False,0.7071196,50_Or_098__35.913750__0.147933__11.2021,128,0,1,79,49,0.6171875,15,8,0.6521739130434783
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_44.npy,False,0.70569956,50_Or_047__35.675778__-0.670871_03.2025,129,0,1,79,50,0.6124031007751938,15,8,0.6521739130434783
50_Or_016_35.653454__-0.602122_04.2023_MediumStandard_601.npy,False,0.7043538,50_Or_016_35.653454__-0.602122_04.2023,130,0,1,79,51,0.6076923076923076,15,8,0.6521739130434783
50_Or_004_35.654030__-0.565647_01.2022_MediumStandard_507.npy,False,0.70405126,50_Or_004_35.654030__-0.565647_01.2022,131,0,1,79,52,0.6030534351145038,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_175.npy,False,0.7028259,50_Or_019_35.652627__-0.592862_06.2020,132,0,1,79,53,0.5984848484848485,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_171.npy,False,0.70118886,50_Or_019_35.652627__-0.592862_06.2020,133,0,1,79,54,0.5939849624060151,15,8,0.6521739130434783
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_305.npy,False,0.6991765,50_Or_052__35.710191__-0.636511_06.2020,134,0,1,79,55,0.5895522388059702,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_183.npy,False,0.6969087,50_Or_019_35.652627__-0.592862_06.2020,135,0,1,79,56,0.5851851851851851,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_655.npy,False,0.695487,50_Or_019_35.652627__-0.592862_06.2020,136,0,1,79,57,0.5808823529411765,15,8,0.6521739130434783
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_39.npy,False,0.69473696,50_Or_047__35.675778__-0.670871_03.2025,137,0,1,79,58,0.5766423357664233,15,8,0.6521739130434783
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_315.npy,False,0.69049996,50_Or_052__35.710191__-0.636511_06.2020,138,0,1,79,59,0.572463768115942,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_636.npy,False,0.6889127,50_Or_019_35.652627__-0.592862_06.2020,139,0,1,79,60,0.5683453237410072,15,8,0.6521739130434783
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_180.npy,False,0.6867572,50_Or_019_35.652627__-0.592862_06.2020,140,0,1,79,61,0.5642857142857143,15,8,0.6521739130434783
50_Or_047__35.675778__-0.670871_03.2025_MediumStandard_178.npy,False,0.6854725,50_Or_047__35.675778__-0.670871_03.2025,141,0,1,79,62,0.5602836879432624,15,8,0.6521739130434783
50_Or_052__35.710191__-0.636511_06.2020_Other_80.npy,False,0.6830542,50_Or_052__35.710191__-0.636511_06.2020,142,0,1,79,63,0.5563380281690141,15,8,0.6521739130434783
50_Or_016_35.653454__-0.602122_04.2023_MediumStandard_595.npy,False,0.68225634,50_Or_016_35.653454__-0.602122_04.2023,143,0,1,79,64,0.5524475524475524,15,8,0.6521739130434783
