filename,is_target,score,image_name,K,TP_obj,FP_obj,Cum_TP_obj,Cum_FP_obj,Precision_obj_at_K,Cum_TP_img,Cum_FP_img,Precision_img_at_K
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_256.npy,False,0.9140756,50_Or_004_35.654030__-0.565647_01.2022,28,0,1,16,12,0.5714285714285714,13,5,0.7222222222222222
50_Or_069__35.715136__-0.480888_01.2022_LongHeavyDuty_269.npy,False,0.9077333,50_Or_069__35.715136__-0.480888_01.2022,29,0,1,16,13,0.5517241379310345,13,5,0.7222222222222222
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_107.npy,False,0.90597296,50_Or_045__35.678830__-0.621677_03.2025,30,0,1,16,14,0.5333333333333333,13,5,0.7222222222222222
50_Or_078__35.819171__-0.468544_06.2022_Bulldozers_35.npy,False,0.9055729,50_Or_078__35.819171__-0.468544_06.2022,31,0,1,16,15,0.5161290322580645,13,5,0.7222222222222222
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_108.npy,False,0.90398264,50_Or_045__35.678830__-0.621677_03.2025,32,0,1,16,16,0.5,13,5,0.7222222222222222
50_Or_006_35.658681__-0.534745_01.2022_HeavyDuty_29.npy,False,0.9010073,50_Or_006_35.658681__-0.534745_01.2022,33,0,1,16,17,0.48484848484848486,13,5,0.7222222222222222
50_Or_016_35.653454__-0.602122_04.2023_ExtremelyLongHeavyDutyTraileronly_48.npy,True,0.89836085,50_Or_016_35.653454__-0.602122_04.2023,34,1,0,17,17,0.5,13,5,0.7222222222222222
50_Or_019_35.652627__-0.592862_06.2020_LongHeavyDuty_359.npy,False,0.88943684,50_Or_019_35.652627__-0.592862_06.2020,35,0,1,17,18,0.4857142857142857,13,5,0.7222222222222222
50_Or_079__35.819171__-0.468544_03.2025_Bulldozers_8.npy,False,0.88868976,50_Or_079__35.819171__-0.468544_03.2025,36,0,1,17,19,0.4722222222222222,13,6,0.6842105263157895
50_Or_031_35.641030__-0.594670_03.2021_LongHeavyDuty_185.npy,False,0.88826466,50_Or_031_35.641030__-0.594670_03.2021,37,0,1,17,20,0.4594594594594595,13,7,0.65
50_Or_065__35.705245__-0.48790_03.2021_ExtremelyLongHeavyDutyTraileronly_41.npy,True,0.8881105,50_Or_065__35.705245__-0.48790_03.2021,38,1,0,18,20,0.47368421052631576,14,6,0.7
50_Or_015_35.653454__-0.602122_03.2021_ExtremelyLongHeavyDutyTraileronly_36.npy,True,0.8880503,50_Or_015_35.653454__-0.602122_03.2021,39,1,0,19,20,0.48717948717948717,14,6,0.7
50_Or_003_35.654030__-0.565647_03.2021_HeavyDuty_153.npy,False,0.88381994,50_Or_003_35.654030__-0.565647_03.2021,40,0,1,19,21,0.475,14,7,0.6666666666666666
50_Or_031_35.641030__-0.594670_03.2021_Other_96.npy,False,0.88327056,50_Or_031_35.641030__-0.594670_03.2021,41,0,1,19,22,0.4634146341463415,14,7,0.6666666666666666
50_Or_079__35.819171__-0.468544_03.2025_ExtremelyLongHeavyDutyTraileronly_3.npy,True,0.8806405,50_Or_079__35.819171__-0.468544_03.2025,42,1,0,20,22,0.47619047619047616,15,6,0.7142857142857143
50_Or_071__35.715136__-0.480888_04.2023_ExtremelyLongHeavyDutyTraileronly_38.npy,True,0.8796727,50_Or_071__35.715136__-0.480888_04.2023,43,1,0,21,22,0.4883720930232558,16,5,0.7619047619047619
50_Or_006_35.658681__-0.534745_01.2022_MediumStandard_163.npy,False,0.87959784,50_Or_006_35.658681__-0.534745_01.2022,44,0,1,21,23,0.4772727272727273,16,5,0.7619047619047619
50_Or_031_35.641030__-0.594670_03.2021_ExtremelyLongHeavyDutyTraileronly_28.npy,True,0.8791002,50_Or_031_35.641030__-0.594670_03.2021,45,1,0,22,23,0.4888888888888889,17,4,0.8095238095238095
50_Or_016_35.653454__-0.602122_04.2023_MediumStandard_599.npy,False,0.8772349,50_Or_016_35.653454__-0.602122_04.2023,46,0,1,22,24,0.4782608695652174,17,4,0.8095238095238095
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_102.npy,False,0.8764358,50_Or_045__35.678830__-0.621677_03.2025,47,0,1,22,25,0.46808510638297873,17,4,0.8095238095238095
50_Or_031_35.641030__-0.594670_03.2021_ExtremelyLongHeavyDutyTraileronly_29.npy,True,0.8718148,50_Or_031_35.641030__-0.594670_03.2021,48,1,0,23,25,0.4791666666666667,17,4,0.8095238095238095
50_Or_003_35.654030__-0.565647_03.2021_ExtremelyLongHeavyDutyTraileronly_45.npy,True,0.86855614,50_Or_003_35.654030__-0.565647_03.2021,49,1,0,24,25,0.4897959183673469,18,3,0.8571428571428571
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_314.npy,False,0.8683257,50_Or_003_35.654030__-0.565647_03.2021,50,0,1,24,26,0.48,18,3,0.8571428571428571
50_Or_078__35.819171__-0.468544_06.2022_Bulldozers_36.npy,False,0.8629414,50_Or_078__35.819171__-0.468544_06.2022,51,0,1,24,27,0.47058823529411764,18,3,0.8571428571428571
50_Or_006_35.658681__-0.534745_01.2022_Bulldozers_12.npy,False,0.85686004,50_Or_006_35.658681__-0.534745_01.2022,52,0,1,24,28,0.46153846153846156,18,3,0.8571428571428571
50_Or_025_35.651734__-0.595641_06.2020_LongHeavyDuty_326.npy,False,0.8567864,50_Or_025_35.651734__-0.595641_06.2020,53,0,1,24,29,0.4528301886792453,18,3,0.8571428571428571
50_Or_031_35.641030__-0.594670_03.2021_Other_92.npy,False,0.8561287,50_Or_031_35.641030__-0.594670_03.2021,54,0,1,24,30,0.4444444444444444,18,3,0.8571428571428571
50_Or_025_35.651734__-0.595641_06.2020_LongHeavyDuty_325.npy,False,0.853564,50_Or_025_35.651734__-0.595641_06.2020,55,0,1,24,31,0.43636363636363634,18,3,0.8571428571428571
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_313.npy,False,0.8474338,50_Or_003_35.654030__-0.565647_03.2021,56,0,1,24,32,0.42857142857142855,18,3,0.8571428571428571
50_Or_077__35.819171__-0.468544_01.2022_Bulldozers_38.npy,False,0.83998185,50_Or_077__35.819171__-0.468544_01.2022,57,0,1,24,33,0.42105263157894735,18,3,0.8571428571428571
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_109.npy,False,0.8382083,50_Or_045__35.678830__-0.621677_03.2025,58,0,1,24,34,0.41379310344827586,18,3,0.8571428571428571
50_Or_031_35.641030__-0.594670_03.2021_Other_94.npy,False,0.83719146,50_Or_031_35.641030__-0.594670_03.2021,59,0,1,24,35,0.4067796610169492,18,3,0.8571428571428571
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_35.npy,False,0.8356434,50_Or_047__35.675778__-0.670871_03.2025,60,0,1,24,36,0.4,18,3,0.8571428571428571
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_261.npy,False,0.83467233,50_Or_004_35.654030__-0.565647_01.2022,61,0,1,24,37,0.39344262295081966,18,3,0.8571428571428571
50_Or_047__35.675778__-0.670871_03.2025_ExtremelyLongHeavyDutyTraileronly_10.npy,True,0.83378804,50_Or_047__35.675778__-0.670871_03.2025,62,1,0,25,37,0.4032258064516129,18,3,0.8571428571428571
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_165.npy,False,0.8278996,50_Or_019_35.652627__-0.592862_06.2020,63,0,1,25,38,0.3968253968253968,18,3,0.8571428571428571
50_Or_065__35.705245__-0.48790_03.2021_ExtremelyLongHeavyDutyTraileronly_43.npy,True,0.8256247,50_Or_065__35.705245__-0.48790_03.2021,64,1,0,26,38,0.40625,18,3,0.8571428571428571
50_Or_005_35.658681__-0.534745_03.2021_MediumStandard_283.npy,False,0.82445514,50_Or_005_35.658681__-0.534745_03.2021,65,0,1,26,39,0.4,18,4,0.8181818181818182
50_Or_069__35.715136__-0.480888_01.2022_LongHeavyDuty_271.npy,False,0.82156014,50_Or_069__35.715136__-0.480888_01.2022,66,0,1,26,40,0.3939393939393939,18,4,0.8181818181818182
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_303.npy,False,0.82119274,50_Or_052__35.710191__-0.636511_06.2020,67,0,1,26,41,0.3880597014925373,18,4,0.8181818181818182
50_Or_047__35.675778__-0.670871_03.2025_LongHeavyDuty_93.npy,False,0.82072437,50_Or_047__35.675778__-0.670871_03.2025,68,0,1,26,42,0.38235294117647056,18,4,0.8181818181818182
50_Or_006_35.658681__-0.534745_01.2022_LongHeavyDuty_42.npy,False,0.82007873,50_Or_006_35.658681__-0.534745_01.2022,69,0,1,26,43,0.37681159420289856,18,4,0.8181818181818182
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_103.npy,False,0.81932664,50_Or_045__35.678830__-0.621677_03.2025,70,0,1,26,44,0.37142857142857144,18,4,0.8181818181818182
50_Or_098__35.913750__0.147933__11.2021_MediumStandard_534.npy,False,0.815253,50_Or_098__35.913750__0.147933__11.2021,71,0,1,26,45,0.36619718309859156,18,5,0.782608695652174
50_Or_052__35.710191__-0.636511_06.2020_Other_81.npy,False,0.8150201,50_Or_052__35.710191__-0.636511_06.2020,72,0,1,26,46,0.3611111111111111,18,5,0.782608695652174
50_Or_004_35.654030__-0.565647_01.2022_HeavyDuty_137.npy,False,0.81335807,50_Or_004_35.654030__-0.565647_01.2022,73,0,1,26,47,0.3561643835616438,18,5,0.782608695652174
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_97.npy,False,0.81124866,50_Or_045__35.678830__-0.621677_03.2025,74,0,1,26,48,0.35135135135135137,18,5,0.782608695652174
50_Or_016_35.653454__-0.602122_04.2023_Other_128.npy,False,0.8110912,50_Or_016_35.653454__-0.602122_04.2023,75,0,1,26,49,0.3466666666666667,18,5,0.782608695652174
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_104.npy,False,0.8083072,50_Or_045__35.678830__-0.621677_03.2025,76,0,1,26,50,0.34210526315789475,18,5,0.782608695652174
50_Or_069__35.715136__-0.480888_01.2022_CementMixerTrucks_89.npy,False,0.80120873,50_Or_069__35.715136__-0.480888_01.2022,77,0,1,26,51,0.33766233766233766,18,5,0.782608695652174
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_322.npy,False,0.8004255,50_Or_003_35.654030__-0.565647_03.2021,78,0,1,26,52,0.3333333333333333,18,5,0.782608695652174
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_318.npy,False,0.799968,50_Or_003_35.654030__-0.565647_03.2021,79,0,1,26,53,0.3291139240506329,18,5,0.782608695652174
50_Or_019_35.652627__-0.592862_06.2020_LongHeavyDuty_357.npy,False,0.7978723,50_Or_019_35.652627__-0.592862_06.2020,80,0,1,26,54,0.325,18,5,0.782608695652174
50_Or_031_35.641030__-0.594670_03.2021_Other_91.npy,False,0.7960014,50_Or_031_35.641030__-0.594670_03.2021,81,0,1,26,55,0.32098765432098764,18,5,0.782608695652174
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_301.npy,False,0.79587495,50_Or_052__35.710191__-0.636511_06.2020,82,0,1,26,56,0.3170731707317073,18,5,0.782608695652174
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_320.npy,False,0.79528755,50_Or_003_35.654030__-0.565647_03.2021,83,0,1,26,57,0.3132530120481928,18,5,0.782608695652174
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_312.npy,False,0.7932586,50_Or_052__35.710191__-0.636511_06.2020,84,0,1,26,58,0.30952380952380953,18,5,0.782608695652174
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_98.npy,False,0.7922933,50_Or_045__35.678830__-0.621677_03.2025,85,0,1,26,59,0.3058823529411765,18,5,0.782608695652174
50_Or_047__35.675778__-0.670871_03.2025_LongHeavyDuty_92.npy,False,0.79150295,50_Or_047__35.675778__-0.670871_03.2025,86,0,1,26,60,0.3023255813953488,18,5,0.782608695652174
50_Or_069__35.715136__-0.480888_01.2022_LongHeavyDuty_270.npy,False,0.7896291,50_Or_069__35.715136__-0.480888_01.2022,87,0,1,26,61,0.2988505747126437,18,5,0.782608695652174
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_259.npy,False,0.78922546,50_Or_004_35.654030__-0.565647_01.2022,88,0,1,26,62,0.29545454545454547,18,5,0.782608695652174
50_Or_015_35.653454__-0.602122_03.2021_LongHeavyDuty_246.npy,False,0.78894234,50_Or_015_35.653454__-0.602122_03.2021,89,0,1,26,63,0.29213483146067415,18,5,0.782608695652174
50_Or_065__35.705245__-0.48790_03.2021_LongHeavyDuty_263.npy,False,0.78880495,50_Or_065__35.705245__-0.48790_03.2021,90,0,1,26,64,0.28888888888888886,18,5,0.782608695652174
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_258.npy,False,0.785189,50_Or_004_35.654030__-0.565647_01.2022,91,0,1,26,65,0.2857142857142857,18,5,0.782608695652174
50_Or_019_35.652627__-0.592862_06.2020_HeavyDuty_184.npy,False,0.7824265,50_Or_019_35.652627__-0.592862_06.2020,92,0,1,26,66,0.2826086956521739,18,5,0.782608695652174
50_Or_069__35.715136__-0.480888_01.2022_LongHeavyDuty_273.npy,False,0.7809346,50_Or_069__35.715136__-0.480888_01.2022,93,0,1,26,67,0.27956989247311825,18,5,0.782608695652174
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_232.npy,False,0.7785442,50_Or_040__35.635027__-0.595208_06.2022,94,0,1,26,68,0.2765957446808511,18,5,0.782608695652174
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_262.npy,False,0.77825135,50_Or_004_35.654030__-0.565647_01.2022,95,0,1,26,69,0.2736842105263158,18,5,0.782608695652174
50_Or_031_35.641030__-0.594670_03.2021_LongHeavyDuty_186.npy,False,0.7769979,50_Or_031_35.641030__-0.594670_03.2021,96,0,1,26,70,0.2708333333333333,18,5,0.782608695652174
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_234.npy,False,0.7768272,50_Or_040__35.635027__-0.595208_06.2022,97,0,1,26,71,0.26804123711340205,18,5,0.782608695652174
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_640.npy,False,0.77421,50_Or_019_35.652627__-0.592862_06.2020,98,0,1,26,72,0.2653061224489796,18,5,0.782608695652174
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_249.npy,False,0.7740904,50_Or_004_35.654030__-0.565647_01.2022,99,0,1,26,73,0.26262626262626265,18,5,0.782608695652174
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_100.npy,False,0.77297986,50_Or_045__35.678830__-0.621677_03.2025,100,0,1,26,74,0.26,18,5,0.782608695652174
50_Or_031_35.641030__-0.594670_03.2021_Other_99.npy,False,0.7681031,50_Or_031_35.641030__-0.594670_03.2021,101,0,1,26,75,0.25742574257425743,18,5,0.782608695652174
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_237.npy,False,0.7676634,50_Or_040__35.635027__-0.595208_06.2022,102,0,1,26,76,0.2549019607843137,18,5,0.782608695652174
50_Or_045__35.678830__-0.621677_03.2025_LongHeavyDuty_105.npy,False,0.7669835,50_Or_045__35.678830__-0.621677_03.2025,103,0,1,26,77,0.2524271844660194,18,5,0.782608695652174
50_Or_047__35.675778__-0.670871_03.2025_LongHeavyDuty_90.npy,False,0.7668206,50_Or_047__35.675778__-0.670871_03.2025,104,0,1,26,78,0.25,18,5,0.782608695652174
50_Or_005_35.658681__-0.534745_03.2021_MediumStandard_281.npy,False,0.76644707,50_Or_005_35.658681__-0.534745_03.2021,105,0,1,26,79,0.24761904761904763,18,5,0.782608695652174
50_Or_040__35.635027__-0.595208_06.2022_LongHeavyDuty_231.npy,False,0.76604503,50_Or_040__35.635027__-0.595208_06.2022,106,0,1,26,80,0.24528301886792453,18,5,0.782608695652174
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_637.npy,False,0.76593804,50_Or_019_35.652627__-0.592862_06.2020,107,0,1,26,81,0.24299065420560748,18,5,0.782608695652174
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_254.npy,False,0.7647053,50_Or_004_35.654030__-0.565647_01.2022,108,0,1,26,82,0.24074074074074073,18,5,0.782608695652174
50_Or_031_35.641030__-0.594670_03.2021_Other_98.npy,False,0.7645167,50_Or_031_35.641030__-0.594670_03.2021,109,0,1,26,83,0.23853211009174313,18,5,0.782608695652174
50_Or_031_35.641030__-0.594670_03.2021_Other_90.npy,False,0.7638803,50_Or_031_35.641030__-0.594670_03.2021,110,0,1,26,84,0.23636363636363636,18,5,0.782608695652174
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_309.npy,False,0.7630964,50_Or_052__35.710191__-0.636511_06.2020,111,0,1,26,85,0.23423423423423423,18,5,0.782608695652174
50_Or_025_35.651734__-0.595641_06.2020_Other_125.npy,False,0.76288056,50_Or_025_35.651734__-0.595641_06.2020,112,0,1,26,86,0.23214285714285715,18,5,0.782608695652174
50_Or_020_35.652627__-0.592862_03.2021_LongHeavyDuty_228.npy,False,0.7583673,50_Or_020_35.652627__-0.592862_03.2021,113,0,1,26,87,0.23008849557522124,18,5,0.782608695652174
50_Or_021_35.652627__-0.592862_06.2022_LongHeavyDuty_115.npy,False,0.7583673,50_Or_021_35.652627__-0.592862_06.2022,114,0,1,26,88,0.22807017543859648,18,5,0.782608695652174
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_260.npy,False,0.75774384,50_Or_004_35.654030__-0.565647_01.2022,115,0,1,26,89,0.22608695652173913,18,5,0.782608695652174
50_Or_052__35.710191__-0.636511_06.2020_Bulldozers_34.npy,False,0.7573242,50_Or_052__35.710191__-0.636511_06.2020,116,0,1,26,90,0.22413793103448276,18,5,0.782608695652174
50_Or_006_35.658681__-0.534745_01.2022_LongHeavyDuty_43.npy,False,0.7573021,50_Or_006_35.658681__-0.534745_01.2022,117,0,1,26,91,0.2222222222222222,18,5,0.782608695652174
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_312.npy,False,0.7560767,50_Or_003_35.654030__-0.565647_03.2021,118,0,1,26,92,0.22033898305084745,18,5,0.782608695652174
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_319.npy,False,0.755568,50_Or_003_35.654030__-0.565647_03.2021,119,0,1,26,93,0.2184873949579832,18,5,0.782608695652174
50_Or_069__35.715136__-0.480888_01.2022_CementMixerTrucks_88.npy,False,0.7546757,50_Or_069__35.715136__-0.480888_01.2022,120,0,1,26,94,0.21666666666666667,18,5,0.782608695652174
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_651.npy,False,0.7536714,50_Or_019_35.652627__-0.592862_06.2020,121,0,1,26,95,0.21487603305785125,18,5,0.782608695652174
50_Or_047__35.675778__-0.670871_03.2025_CementMixerTrucks_36.npy,False,0.75322324,50_Or_047__35.675778__-0.670871_03.2025,122,0,1,26,96,0.21311475409836064,18,5,0.782608695652174
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_316.npy,False,0.75272727,50_Or_003_35.654030__-0.565647_03.2021,123,0,1,26,97,0.21138211382113822,18,5,0.782608695652174
50_Or_065__35.705245__-0.48790_03.2021_ExtremelyLongHeavyDutyTraileronly_42.npy,True,0.7525722,50_Or_065__35.705245__-0.48790_03.2021,124,1,0,27,97,0.21774193548387097,18,5,0.782608695652174
50_Or_065__35.705245__-0.48790_03.2021_LongHeavyDuty_266.npy,False,0.7514481,50_Or_065__35.705245__-0.48790_03.2021,125,0,1,27,98,0.216,18,5,0.782608695652174
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_317.npy,False,0.75081855,50_Or_003_35.654030__-0.565647_03.2021,126,0,1,27,99,0.21428571428571427,18,5,0.782608695652174
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_321.npy,False,0.7502713,50_Or_003_35.654030__-0.565647_03.2021,127,0,1,27,100,0.2125984251968504,18,5,0.782608695652174
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_253.npy,False,0.74970585,50_Or_004_35.654030__-0.565647_01.2022,128,0,1,27,101,0.2109375,18,5,0.782608695652174
50_Or_031_35.641030__-0.594670_03.2021_Other_93.npy,False,0.7474636,50_Or_031_35.641030__-0.594670_03.2021,129,0,1,27,102,0.20930232558139536,18,5,0.782608695652174
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_252.npy,False,0.74746,50_Or_004_35.654030__-0.565647_01.2022,130,0,1,27,103,0.2076923076923077,18,5,0.782608695652174
50_Or_052__35.710191__-0.636511_06.2020_MediumStandard_304.npy,False,0.74659514,50_Or_052__35.710191__-0.636511_06.2020,131,0,1,27,104,0.20610687022900764,18,5,0.782608695652174
50_Or_003_35.654030__-0.565647_03.2021_LongHeavyDuty_315.npy,False,0.74623585,50_Or_003_35.654030__-0.565647_03.2021,132,0,1,27,105,0.20454545454545456,18,5,0.782608695652174
50_Or_019_35.652627__-0.592862_06.2020_LongHeavyDuty_360.npy,False,0.74456793,50_Or_019_35.652627__-0.592862_06.2020,133,0,1,27,106,0.20300751879699247,18,5,0.782608695652174
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_642.npy,False,0.7445322,50_Or_019_35.652627__-0.592862_06.2020,134,0,1,27,107,0.20149253731343283,18,5,0.782608695652174
50_Or_019_35.652627__-0.592862_06.2020_LongHeavyDuty_358.npy,False,0.7442132,50_Or_019_35.652627__-0.592862_06.2020,135,0,1,27,108,0.2,18,5,0.782608695652174
50_Or_069__35.715136__-0.480888_01.2022_LongHeavyDuty_268.npy,False,0.74292135,50_Or_069__35.715136__-0.480888_01.2022,136,0,1,27,109,0.19852941176470587,18,5,0.782608695652174
50_Or_019_35.652627__-0.592862_06.2020_MediumStandard_638.npy,False,0.7395759,50_Or_019_35.652627__-0.592862_06.2020,137,0,1,27,110,0.19708029197080293,18,5,0.782608695652174
50_Or_004_35.654030__-0.565647_01.2022_LongHeavyDuty_257.npy,False,0.73860776,50_Or_004_35.654030__-0.565647_01.2022,138,0,1,27,111,0.1956521739130435,18,5,0.782608695652174
